full_date,year,month,month_name,country,daily_orders,gross_revenue,returns_revenue,net_revenue,is_q4
2009-12-17,2009,12,December,United Kingdom,157,27891.53,-1115.18,26776.35,1
2009-12-18,2009,12,December,Australia,1,75.0,0.0,75.0,1
2009-12-18,2009,12,December,Cyprus,1,1636.43,0.0,1636.43,1
2009-12-18,2009,12,December,EIRE,5,3424.11,0.0,3424.11,1
2009-12-18,2009,12,December,Germany,5,218.97,-55.8,163.17,1
2009-12-18,2009,12,December,Netherlands,1,8370.08,0.0,8370.08,1
2009-12-18,2009,12,December,United Kingdom,71,28863.5,-161.21,28702.29,1
2009-12-20,2009,12,December,EIRE,1,0.0,-11.9,-11.9,1
2009-12-20,2009,12,December,France,1,975.06,0.0,975.06,1
2009-12-20,2009,12,December,Germany,1,330.6,0.0,330.6,1
2009-12-20,2009,12,December,United Kingdom,37,10144.17,-103.55,10040.62,1
2009-12-21,2009,12,December,EIRE,1,7112.68,0.0,7112.68,1
2009-12-21,2009,12,December,France,1,138.75,0.0,138.75,1
2009-12-21,2009,12,December,Germany,1,801.43,0.0,801.43,1
2009-12-21,2009,12,December,United Kingdom,47,8171.07,-1244.47,6926.6,1
2009-12-22,2009,12,December,Austria,1,568.51,0.0,568.51,1
2009-12-22,2009,12,December,United Kingdom,202,27430.92,-541.69,26889.23,1
2009-12-23,2009,12,December,Germany,1,0.0,-45.75,-45.75,1
2009-12-23,2009,12,December,Spain,2,5149.06,0.0,5149.06,1
2009-12-23,2009,12,December,United Kingdom,29,5722.04,-82.67,5639.37,1
2010-01-04,2010,1,January,EIRE,1,0.0,-14.0,-14.0,0
2010-01-04,2010,1,January,Germany,1,0.0,-16.29,-16.29,0
2010-01-04,2010,1,January,United Kingdom,68,13481.25,-250.36,13230.89,0
2010-01-05,2010,1,January,United Kingdom,46,19199.29,-96.95,19102.34,0
2010-01-06,2010,1,January,United Kingdom,14,8742.43,0.0,8742.43,0
2010-01-07,2010,1,January,EIRE,5,46440.42,-109.95,46330.47,0
2010-01-07,2010,1,January,France,1,2130.3,0.0,2130.3,0
2010-01-07,2010,1,January,Germany,2,205.75,-18.0,187.75,0
2010-01-07,2010,1,January,Sweden,1,26.05,0.0,26.05,0
2010-01-07,2010,1,January,United Kingdom,78,24283.22,-649.87,23633.35,0
2010-01-08,2010,1,January,Belgium,1,404.55,0.0,404.55,0
2010-01-08,2010,1,January,EIRE,1,1190.46,0.0,1190.46,0
2010-01-08,2010,1,January,France,3,2890.82,0.0,2890.82,0
2010-01-08,2010,1,January,United Kingdom,41,24272.18,-21.9,24250.28,0
2010-01-10,2010,1,January,Spain,1,760.24,0.0,760.24,0
2010-01-10,2010,1,January,United Kingdom,36,22928.36,-168.68,22759.68,0
2010-01-11,2010,1,January,Denmark,1,881.2,0.0,881.2,0
2010-01-11,2010,1,January,EIRE,1,1642.5,0.0,1642.5,0
2010-01-11,2010,1,January,Germany,4,471.33,-171.0,300.33,0
2010-01-11,2010,1,January,Netherlands,1,152.88,0.0,152.88,0
2010-01-11,2010,1,January,USA,2,558.42,0.0,558.42,0
2010-01-11,2010,1,January,United Kingdom,62,32769.94,-206.27,32563.67,0
2010-01-12,2010,1,January,Germany,4,2370.56,-72.0,2298.56,0
2010-01-12,2010,1,January,USA,1,5.0,0.0,5.0,0
2010-01-12,2010,1,January,United Kingdom,60,38480.12,-93.7,38386.42,0
2010-01-13,2010,1,January,Belgium,1,0.0,-9.95,-9.95,0
2010-01-13,2010,1,January,France,2,854.35,-116.62,737.73,0
2010-01-13,2010,1,January,Germany,2,1383.41,-19.84,1363.57,0
2010-01-13,2010,1,January,Spain,2,0.0,-336.0,-336.0,0
2010-01-13,2010,1,January,United Kingdom,51,19349.91,-204.27,19145.64,0
2010-01-14,2010,1,January,Germany,3,671.93,-54.5,617.43,0
2010-01-14,2010,1,January,Greece,1,859.27,0.0,859.27,0
2010-01-14,2010,1,January,United Kingdom,82,30141.53,-1327.33,28814.2,0
2010-01-15,2010,1,January,Belgium,2,1120.27,0.0,1120.27,0
2010-01-15,2010,1,January,Finland,1,738.18,0.0,738.18,0
2010-01-15,2010,1,January,Germany,2,79.2,-98.35,-19.15,0
2010-01-15,2010,1,January,Japan,1,2.95,0.0,2.95,0
2010-01-15,2010,1,January,Netherlands,2,333.45,0.0,333.45,0
2010-01-15,2010,1,January,United Kingdom,45,11241.84,-119.0,11122.84,0
2010-01-17,2010,1,January,United Kingdom,41,17578.24,-12.3,17565.94,0
2010-01-18,2010,1,January,Channel Islands,1,838.75,0.0,838.75,0
2010-01-18,2010,1,January,Germany,1,0.0,-16.35,-16.35,0
2010-01-18,2010,1,January,United Kingdom,48,20612.81,-91.98,20520.83,0
2010-01-19,2010,1,January,EIRE,1,940.74,0.0,940.74,0
2010-01-19,2010,1,January,France,3,1325.28,0.0,1325.28,0
2010-01-19,2010,1,January,Germany,1,0.0,-5.59,-5.59,0
2010-01-19,2010,1,January,USA,1,1130.22,0.0,1130.22,0
2010-01-19,2010,1,January,United Kingdom,44,29744.37,-359.1,29385.27,0
2010-01-19,2010,1,January,Unspecified,1,211.95,0.0,211.95,0
2010-01-20,2010,1,January,EIRE,2,221.32,-496.5,-275.18,0
2010-01-20,2010,1,January,Sweden,1,1352.4,0.0,1352.4,0
2010-01-20,2010,1,January,United Kingdom,74,16052.74,-1134.8,14917.94,0
2010-01-21,2010,1,January,Denmark,1,6989.4,0.0,6989.4,0
2010-01-21,2010,1,January,EIRE,1,3590.07,0.0,3590.07,0
2010-01-21,2010,1,January,Greece,1,2507.06,0.0,2507.06,0
2010-01-21,2010,1,January,United Kingdom,85,14305.43,-424.07,13881.36,0
2010-01-22,2010,1,January,EIRE,3,2105.49,0.0,2105.49,0
2010-01-22,2010,1,January,Germany,2,2131.63,0.0,2131.63,0
2010-01-22,2010,1,January,Netherlands,2,10173.56,0.0,10173.56,0
2010-01-22,2010,1,January,Spain,1,1120.46,0.0,1120.46,0
2010-01-22,2010,1,January,United Kingdom,66,20089.79,-168.89,19920.9,0
2010-01-24,2010,1,January,Germany,1,557.53,0.0,557.53,0
2010-01-24,2010,1,January,United Kingdom,51,15512.71,-26.39,15486.32,0
2010-01-25,2010,1,January,EIRE,1,627.43,0.0,627.43,0
2010-01-25,2010,1,January,Germany,1,0.0,-58.4,-58.4,0
2010-01-25,2010,1,January,Greece,1,1432.02,0.0,1432.02,0
2010-01-25,2010,1,January,United Kingdom,68,20956.2,-87.24,20868.96,0
2010-01-26,2010,1,January,Belgium,1,109.2,0.0,109.2,0
2010-01-26,2010,1,January,Cyprus,1,76.52,0.0,76.52,0
2010-01-26,2010,1,January,EIRE,14,1623.37,-59.1,1564.27,0
2010-01-26,2010,1,January,Finland,3,63.24,-142.65,-79.41,0
2010-01-26,2010,1,January,France,2,590.17,0.0,590.17,0
2010-01-26,2010,1,January,Germany,11,2935.03,-75.45,2859.58,0
2010-01-26,2010,1,January,Italy,1,39.67,0.0,39.67,0
2010-01-26,2010,1,January,Netherlands,2,18570.88,-18.38,18552.5,0
2010-01-26,2010,1,January,Nigeria,1,27.82,0.0,27.82,0
2010-01-26,2010,1,January,Portugal,2,117.72,-13.13,104.59,0
2010-01-26,2010,1,January,Spain,4,227.75,-26.25,201.5,0
2010-01-26,2010,1,January,United Kingdom,123,22862.47,-1420.36,21442.11,0
2010-01-26,2010,1,January,Unspecified,1,0.0,-36.75,-36.75,0
2010-01-27,2010,1,January,Spain,1,565.3,0.0,565.3,0
2010-01-27,2010,1,January,USA,1,595.95,0.0,595.95,0
2010-01-27,2010,1,January,United Kingdom,82,26719.2,-223.22,26495.98,0
2010-01-27,2010,1,January,Unspecified,1,823.15,0.0,823.15,0
2010-01-28,2010,1,January,Channel Islands,1,0.0,-15.9,-15.9,0
2010-01-28,2010,1,January,EIRE,1,1034.67,0.0,1034.67,0
2010-01-28,2010,1,January,Germany,3,0.0,-50.2,-50.2,0
2010-01-28,2010,1,January,United Kingdom,77,18811.0,-561.41,18249.59,0
2010-01-29,2010,1,January,Spain,1,96.5,0.0,96.5,0
2010-01-29,2010,1,January,United Kingdom,75,19321.88,-426.46,18895.42,0
2010-01-31,2010,1,January,EIRE,1,1026.38,0.0,1026.38,0
2010-01-31,2010,1,January,France,1,320.26,0.0,320.26,0
2010-01-31,2010,1,January,Germany,1,1755.74,0.0,1755.74,0
2010-01-31,2010,1,January,Sweden,2,301.7,-40.0,261.7,0
2010-01-31,2010,1,January,United Kingdom,53,15300.6,-214.55,15086.05,0
2010-02-01,2010,2,February,Germany,2,824.2,0.0,824.2,0
2010-02-01,2010,2,February,Japan,1,159.66,0.0,159.66,0
2010-02-01,2010,2,February,Malta,1,818.19,0.0,818.19,0
2010-02-01,2010,2,February,Portugal,2,403.33,0.0,403.33,0
2010-02-01,2010,2,February,Spain,3,492.04,-56.0,436.04,0
2010-02-01,2010,2,February,United Kingdom,70,16315.82,-65.52,16250.3,0
2010-02-02,2010,2,February,Bahrain,1,439.85,0.0,439.85,0
2010-02-02,2010,2,February,EIRE,3,2681.27,0.0,2681.27,0
2010-02-02,2010,2,February,Germany,1,0.0,-0.85,-0.85,0
2010-02-02,2010,2,February,United Kingdom,53,17967.08,-84.36,17882.72,0
2010-02-03,2010,2,February,France,1,714.21,0.0,714.21,0
2010-02-03,2010,2,February,Germany,2,20.4,-43.2,-22.8,0
2010-02-03,2010,2,February,Netherlands,1,266.5,0.0,266.5,0
2010-02-03,2010,2,February,RSA,1,931.43,0.0,931.43,0
2010-02-03,2010,2,February,Spain,2,17.0,-33.0,-16.0,0
2010-02-03,2010,2,February,United Kingdom,143,19499.15,-65.74,19433.41,0
2010-02-04,2010,2,February,Austria,1,437.9,0.0,437.9,0
2010-02-04,2010,2,February,France,1,51.0,0.0,51.0,0
2010-02-04,2010,2,February,Germany,2,401.43,0.0,401.43,0
2010-02-04,2010,2,February,United Kingdom,139,21784.17,-16.62,21767.55,0
2010-02-05,2010,2,February,Germany,2,353.03,0.0,353.03,0
2010-02-05,2010,2,February,United Kingdom,143,21475.17,-1125.08,20350.09,0
2010-02-07,2010,2,February,Belgium,1,191.7,0.0,191.7,0
2010-02-07,2010,2,February,EIRE,1,7497.64,0.0,7497.64,0
2010-02-07,2010,2,February,France,1,987.64,0.0,987.64,0
2010-02-07,2010,2,February,Germany,1,196.2,0.0,196.2,0
2010-02-07,2010,2,February,United Kingdom,31,8205.03,-254.44,7950.59,0
2010-02-08,2010,2,February,EIRE,1,365.1,0.0,365.1,0
2010-02-08,2010,2,February,Germany,3,1476.68,0.0,1476.68,0
2010-02-08,2010,2,February,United Arab Emirates,3,1007.8,-503.9,503.9,0
2010-02-08,2010,2,February,United Kingdom,64,13718.94,-75.8,13643.14,0
2010-02-09,2010,2,February,Austria,1,562.96,0.0,562.96,0
2010-02-09,2010,2,February,France,5,3392.51,0.0,3392.51,0
2010-02-09,2010,2,February,Germany,5,2062.71,0.0,2062.71,0
2010-02-09,2010,2,February,United Kingdom,46,13648.36,-28.5,13619.86,0
2010-02-10,2010,2,February,Germany,1,283.98,0.0,283.98,0
2010-02-10,2010,2,February,Portugal,1,55.5,0.0,55.5,0
2010-02-10,2010,2,February,Sweden,1,87.4,0.0,87.4,0
2010-02-10,2010,2,February,United Kingdom,35,9152.91,-488.57,8664.34,0
2010-02-11,2010,2,February,France,5,1422.35,0.0,1422.35,0
2010-02-11,2010,2,February,Germany,3,158.7,-56.4,102.3,0
2010-02-11,2010,2,February,Switzerland,1,477.68,0.0,477.68,0
2010-02-11,2010,2,February,United Kingdom,92,13055.67,-89.36,12966.31,0
2010-02-12,2010,2,February,France,1,493.66,0.0,493.66,0
2010-02-12,2010,2,February,Germany,3,738.86,-16.85,722.01,0
2010-02-12,2010,2,February,United Arab Emirates,1,0.0,-10.2,-10.2,0
2010-02-12,2010,2,February,United Kingdom,70,10158.54,-42.15,10116.39,0
2010-02-14,2010,2,February,Australia,1,662.25,0.0,662.25,0
2010-02-14,2010,2,February,EIRE,1,881.86,0.0,881.86,0
2010-02-14,2010,2,February,United Kingdom,48,16270.34,-162.95,16107.39,0
2010-02-15,2010,2,February,Belgium,1,1508.65,0.0,1508.65,0
2010-02-15,2010,2,February,Cyprus,1,712.39,0.0,712.39,0
2010-02-15,2010,2,February,Denmark,1,16973.1,0.0,16973.1,0
2010-02-15,2010,2,February,EIRE,2,129.34,-12.75,116.59,0
2010-02-15,2010,2,February,Germany,2,762.48,-10.9,751.58,0
2010-02-15,2010,2,February,United Kingdom,46,21190.17,-161.25,21028.92,0
2010-02-16,2010,2,February,EIRE,2,454.35,-5.95,448.4,0
2010-02-16,2010,2,February,Germany,1,0.0,-29.95,-29.95,0
2010-02-16,2010,2,February,Sweden,1,1677.42,0.0,1677.42,0
2010-02-16,2010,2,February,United Kingdom,105,28967.06,-214.65,28752.41,0
2010-02-17,2010,2,February,Denmark,2,2836.8,-3630.8,-794.0,0
2010-02-17,2010,2,February,EIRE,3,2953.54,0.0,2953.54,0
2010-02-17,2010,2,February,Germany,1,0.0,-20.4,-20.4,0
2010-02-17,2010,2,February,United Kingdom,58,20825.89,-262.57,20563.32,0
2010-02-18,2010,2,February,EIRE,2,0.0,-19.55,-19.55,0
2010-02-18,2010,2,February,Germany,1,210.07,0.0,210.07,0
2010-02-18,2010,2,February,Netherlands,4,14957.6,-947.08,14010.52,0
2010-02-18,2010,2,February,United Kingdom,84,20643.52,-615.2,20028.32,0
2010-02-19,2010,2,February,United Kingdom,64,27234.4,-132.39,27102.01,0
2010-02-21,2010,2,February,Australia,1,202.56,0.0,202.56,0
2010-02-21,2010,2,February,EIRE,1,986.8,0.0,986.8,0
2010-02-21,2010,2,February,United Kingdom,58,10286.5,-2156.13,8130.37,0
2010-02-22,2010,2,February,Australia,1,164.85,0.0,164.85,0
2010-02-22,2010,2,February,Austria,1,118.0,0.0,118.0,0
2010-02-22,2010,2,February,Cyprus,1,38.1,0.0,38.1,0
2010-02-22,2010,2,February,EIRE,1,881.52,0.0,881.52,0
2010-02-22,2010,2,February,France,1,0.0,-5.0,-5.0,0
2010-02-22,2010,2,February,Germany,1,0.0,-7.5,-7.5,0
2010-02-22,2010,2,February,United Arab Emirates,1,1310.3,0.0,1310.3,0
2010-02-22,2010,2,February,United Kingdom,79,23846.36,-127.48,23718.88,0
2010-02-23,2010,2,February,France,3,1370.74,-38.15,1332.59,0
2010-02-23,2010,2,February,Germany,7,303.65,-66.95,236.7,0
2010-02-23,2010,2,February,Japan,3,34.06,-37.01,-2.95,0
2010-02-23,2010,2,February,United Kingdom,75,20989.2,-3.95,20985.25,0
2010-02-24,2010,2,February,EIRE,4,3733.78,-17.7,3716.08,0
2010-02-24,2010,2,February,Netherlands,1,1112.2,0.0,1112.2,0
2010-02-24,2010,2,February,Sweden,5,6437.76,0.0,6437.76,0
2010-02-24,2010,2,February,United Kingdom,113,21787.0,-257.3,21529.7,0
2010-02-25,2010,2,February,France,1,592.05,0.0,592.05,0
2010-02-25,2010,2,February,Germany,2,529.61,0.0,529.61,0
2010-02-25,2010,2,February,United Kingdom,88,45520.31,-1236.14,44284.17,0
2010-02-26,2010,2,February,Netherlands,4,919.09,-361.0,558.09,0
2010-02-26,2010,2,February,United Kingdom,59,15784.61,-944.04,14840.57,0
2010-02-28,2010,2,February,Germany,2,802.25,0.0,802.25,0
2010-02-28,2010,2,February,Spain,1,45.0,0.0,45.0,0
2010-02-28,2010,2,February,United Kingdom,55,16047.27,-111.05,15936.22,0
2010-03-01,2010,3,March,France,1,629.39,0.0,629.39,0
2010-03-01,2010,3,March,Netherlands,1,0.0,-210.0,-210.0,0
2010-03-01,2010,3,March,Poland,1,318.86,0.0,318.86,0
2010-03-01,2010,3,March,Spain,1,438.8,0.0,438.8,0
2010-03-01,2010,3,March,United Kingdom,93,24440.41,-232.47,24207.94,0
2010-03-02,2010,3,March,France,3,2192.83,-29.85,2162.98,0
2010-03-02,2010,3,March,Germany,2,344.1,-35.4,308.7,0
2010-03-02,2010,3,March,Netherlands,1,1562.94,0.0,1562.94,0
2010-03-02,2010,3,March,Portugal,2,633.68,-14.85,618.83,0
2010-03-02,2010,3,March,United Kingdom,129,21690.32,-666.33,21023.99,0
2010-03-03,2010,3,March,Belgium,1,200.0,0.0,200.0,0
2010-03-03,2010,3,March,EIRE,5,9549.49,0.0,9549.49,0
2010-03-03,2010,3,March,France,3,319.6,-20.32,299.28,0
2010-03-03,2010,3,March,Germany,3,473.09,-45.2,427.89,0
2010-03-03,2010,3,March,Italy,1,154.14,0.0,154.14,0
2010-03-03,2010,3,March,United Kingdom,71,23405.09,-159.26,23245.83,0
2010-03-04,2010,3,March,Australia,1,394.59,0.0,394.59,0
2010-03-04,2010,3,March,Cyprus,1,0.0,-25.6,-25.6,0
2010-03-04,2010,3,March,EIRE,2,1125.16,0.0,1125.16,0
2010-03-04,2010,3,March,France,1,202.35,0.0,202.35,0
2010-03-04,2010,3,March,Switzerland,2,607.68,0.0,607.68,0
2010-03-04,2010,3,March,United Kingdom,92,29708.67,-320.48,29388.19,0
2010-03-05,2010,3,March,Belgium,2,704.02,0.0,704.02,0
2010-03-05,2010,3,March,EIRE,2,777.64,0.0,777.64,0
2010-03-05,2010,3,March,France,1,334.06,0.0,334.06,0
2010-03-05,2010,3,March,Germany,3,1676.11,0.0,1676.11,0
2010-03-05,2010,3,March,Greece,1,522.73,0.0,522.73,0
2010-03-05,2010,3,March,United Kingdom,77,23670.17,0.0,23670.17,0
2010-03-07,2010,3,March,Germany,2,2323.84,0.0,2323.84,0
2010-03-07,2010,3,March,United Kingdom,65,17385.48,-189.5,17195.98,0
2010-03-08,2010,3,March,Austria,1,348.32,0.0,348.32,0
2010-03-08,2010,3,March,Cyprus,1,337.74,0.0,337.74,0
2010-03-08,2010,3,March,France,1,0.0,-18.1,-18.1,0
2010-03-08,2010,3,March,Germany,3,1100.27,-29.7,1070.57,0
2010-03-08,2010,3,March,Italy,1,580.08,0.0,580.08,0
2010-03-08,2010,3,March,Netherlands,1,147.0,0.0,147.0,0
2010-03-08,2010,3,March,Portugal,1,0.0,-15.9,-15.9,0
2010-03-08,2010,3,March,United Kingdom,99,34719.8,-362.3,34357.5,0
2010-03-09,2010,3,March,EIRE,2,0.0,-95.75,-95.75,0
2010-03-09,2010,3,March,France,2,1089.65,0.0,1089.65,0
2010-03-09,2010,3,March,Germany,2,251.05,0.0,251.05,0
2010-03-09,2010,3,March,Spain,1,364.79,0.0,364.79,0
2010-03-09,2010,3,March,Sweden,1,357.4,0.0,357.4,0
2010-03-09,2010,3,March,United Kingdom,92,19972.86,-1095.07,18877.79,0
2010-03-10,2010,3,March,EIRE,2,551.95,-1.7,550.25,0
2010-03-10,2010,3,March,France,1,0.0,-32.4,-32.4,0
2010-03-10,2010,3,March,Germany,2,384.5,0.0,384.5,0
2010-03-10,2010,3,March,Sweden,2,679.8,0.0,679.8,0
2010-03-10,2010,3,March,United Kingdom,76,25905.93,-372.35,25533.58,0
2010-03-11,2010,3,March,Netherlands,1,3425.26,0.0,3425.26,0
2010-03-11,2010,3,March,United Kingdom,75,21166.65,-111.0,21055.65,0
2010-03-12,2010,3,March,Denmark,1,728.88,0.0,728.88,0
2010-03-12,2010,3,March,EIRE,1,917.56,0.0,917.56,0
2010-03-12,2010,3,March,France,2,366.05,0.0,366.05,0
2010-03-12,2010,3,March,Germany,1,0.0,-1.95,-1.95,0
2010-03-12,2010,3,March,Netherlands,3,7482.62,0.0,7482.62,0
2010-03-12,2010,3,March,United Kingdom,46,12215.98,-236.34,11979.64,0
2010-03-14,2010,3,March,Netherlands,1,1968.98,0.0,1968.98,0
2010-03-14,2010,3,March,United Kingdom,24,7039.82,-12.75,7027.07,0
2010-03-15,2010,3,March,EIRE,2,1537.92,0.0,1537.92,0
2010-03-15,2010,3,March,France,1,1182.35,0.0,1182.35,0
2010-03-15,2010,3,March,Germany,2,92.0,-12.75,79.25,0
2010-03-15,2010,3,March,Japan,2,110.4,-110.4,0.0,0
2010-03-15,2010,3,March,Netherlands,1,165.0,0.0,165.0,0
2010-03-15,2010,3,March,Sweden,1,0.0,-34.0,-34.0,0
2010-03-15,2010,3,March,United Kingdom,72,24502.28,-126.56,24375.72,0
2010-03-16,2010,3,March,Cyprus,1,500.24,0.0,500.24,0
2010-03-16,2010,3,March,EIRE,1,0.0,-15.0,-15.0,0
2010-03-16,2010,3,March,Germany,4,744.37,-92.0,652.37,0
2010-03-16,2010,3,March,Sweden,2,46.8,-23.4,23.4,0
2010-03-16,2010,3,March,United Kingdom,85,22761.03,-832.5,21928.53,0
2010-03-17,2010,3,March,Denmark,1,6866.3,0.0,6866.3,0
2010-03-17,2010,3,March,EIRE,1,331.32,0.0,331.32,0
2010-03-17,2010,3,March,Germany,2,2917.76,-7.95,2909.81,0
2010-03-17,2010,3,March,United Kingdom,52,20648.24,-170.33,20477.91,0
2010-03-18,2010,3,March,Bermuda,1,1253.14,0.0,1253.14,0
2010-03-18,2010,3,March,EIRE,2,874.36,0.0,874.36,0
2010-03-18,2010,3,March,France,1,1155.48,0.0,1155.48,0
2010-03-18,2010,3,March,Germany,2,1609.06,0.0,1609.06,0
2010-03-18,2010,3,March,United Kingdom,88,35615.72,-278.88,35336.84,0
2010-03-19,2010,3,March,Bahrain,1,429.8,0.0,429.8,0
2010-03-19,2010,3,March,EIRE,1,1055.51,0.0,1055.51,0
2010-03-19,2010,3,March,Sweden,1,354.0,0.0,354.0,0
2010-03-19,2010,3,March,Switzerland,1,343.94,0.0,343.94,0
2010-03-19,2010,3,March,United Kingdom,72,21671.79,-246.86,21424.93,0
2010-03-21,2010,3,March,Cyprus,1,917.7,0.0,917.7,0
2010-03-21,2010,3,March,Netherlands,1,381.0,0.0,381.0,0
2010-03-21,2010,3,March,United Kingdom,60,19511.08,-243.14,19267.94,0
