order_date,daily_revenue,daily_orders,is_q4
2010-03-02,25677.44,137,0
2010-03-03,33876.63,84,0
2010-03-04,31692.37,99,0
2010-03-05,27684.73,86,0
2010-03-07,19519.82,67,0
2010-03-08,36807.21,108,0
2010-03-09,20844.93,100,0
2010-03-10,27115.73,83,0
2010-03-11,24480.91,76,0
2010-03-12,21472.8,54,0
2010-03-14,8996.05,25,0
2010-03-15,27306.24,81,0
2010-03-16,23089.54,93,0
2010-03-17,30585.34,56,0
2010-03-18,40228.88,94,0
2010-03-19,23608.18,76,0
2010-03-21,20566.64,62,0
2010-03-22,24689.1,104,0
2010-03-23,32489.45,76,0
2010-03-24,27145.99,112,0
2010-03-25,32429.42,100,0
2010-03-26,32066.19,83,0
2010-03-28,22494.37,59,0
2010-03-29,59181.02,98,0
2010-03-30,37626.78,108,0
2010-03-31,29444.54,87,0
2010-04-01,30589.71,111,0
2010-04-06,19026.87,67,0
2010-04-07,34495.66,72,0
2010-04-08,47198.13,96,0
2010-04-09,16850.06,56,0
2010-04-11,19884.47,44,0
2010-04-12,25966.13,85,0
2010-04-13,24980.7,91,0
2010-04-14,26592.63,64,0
2010-04-15,19372.69,69,0
2010-04-16,18061.54,48,0
2010-04-18,24065.73,56,0
2010-04-19,45000.29,86,0
2010-04-20,24848.06,75,0
2010-04-21,27639.08,82,0
2010-04-22,35821.27,130,0
2010-04-23,16052.64,66,0
2010-04-25,16404.87,50,0
2010-04-26,35821.28,118,0
2010-04-27,45862.41,106,0
2010-04-28,32450.94,79,0
2010-04-29,31386.76,102,0
2010-04-30,27488.88,93,0
2010-05-02,12033.88,43,0
2010-05-04,21858.05,98,0
2010-05-05,26569.52,116,0
2010-05-06,52509.21,124,0
2010-05-07,34935.65,88,0
2010-05-09,23070.9,64,0
2010-05-10,29543.72,120,0
2010-05-11,28707.32,180,0
2010-05-12,31207.76,137,0
2010-05-13,28366.58,95,0
2010-05-14,11944.7,106,0
2010-05-16,18119.15,47,0
2010-05-17,24287.04,145,0
2010-05-18,27377.22,91,0
2010-05-19,17126.75,80,0
2010-05-20,25027.84,86,0
2010-05-21,26862.2,124,0
2010-05-23,25033.43,53,0
2010-05-24,34841.38,98,0
2010-05-25,21732.84,155,0
2010-05-26,35685.66,117,0
2010-05-27,30872.26,100,0
2010-05-28,17272.08,99,0
2010-05-30,10706.31,35,0
2010-06-01,15639.81,53,0
2010-06-02,16132.87,54,0
2010-06-03,27142.71,112,0
2010-06-04,21217.43,142,0
2010-06-06,25420.58,76,0
2010-06-07,45325.89,119,0
2010-06-08,51615.56,117,0
2010-06-09,37621.64,96,0
2010-06-10,15602.33,96,0
2010-06-11,32983.03,90,0
2010-06-13,21480.84,78,0
2010-06-14,23242.15,75,0
2010-06-15,29559.25,76,0
2010-06-16,31197.04,92,0
2010-06-17,23978.11,92,0
2010-06-18,18385.57,64,0
2010-06-20,9100.68,27,0
2010-06-21,21147.91,52,0
2010-06-22,14665.08,46,0
2010-06-23,27840.31,70,0
2010-06-24,23524.23,118,0
2010-06-25,17704.17,52,0
2010-06-27,17571.82,62,0
2010-06-28,45353.48,80,0
2010-06-29,34564.96,89,0
2010-06-30,31700.36,143,0
2010-07-01,29933.8,96,0
2010-07-02,16632.79,57,0
2010-07-04,10485.71,22,0
2010-07-05,32317.21,127,0
2010-07-06,23299.09,63,0
2010-07-07,31833.04,97,0
2010-07-08,19252.81,96,0
2010-07-09,33758.28,54,0
2010-07-11,7853.53,29,0
2010-07-12,19591.0,65,0
2010-07-13,20707.85,63,0
2010-07-14,22568.57,106,0
2010-07-15,56139.26,100,0
2010-07-16,20478.34,130,0
2010-07-18,14988.42,42,0
2010-07-19,30435.91,67,0
2010-07-20,24441.42,64,0
2010-07-21,21567.83,84,0
2010-07-22,26149.86,105,0
2010-07-23,25006.99,54,0
2010-07-25,17154.71,58,0
2010-07-26,22796.27,74,0
2010-07-27,26808.42,83,0
2010-07-28,22985.32,84,0
2010-07-29,34210.34,99,0
2010-07-30,15633.9,69,0
2010-08-01,30314.25,36,0
2010-08-02,27116.75,72,0
2010-08-03,25334.26,84,0
2010-08-04,20624.21,64,0
2010-08-05,23642.48,73,0
2010-08-06,13645.21,59,0
2010-08-08,14072.78,47,0
2010-08-09,31255.7,74,0
2010-08-10,34859.59,56,0
2010-08-11,20905.02,51,0
2010-08-12,27713.06,156,0
2010-08-13,36411.24,107,0
2010-08-15,22031.59,61,0
2010-08-16,20697.23,73,0
2010-08-17,29996.66,66,0
2010-08-18,37204.3,63,0
2010-08-19,32608.4,84,0
2010-08-20,25246.1,65,0
2010-08-22,22703.21,64,0
2010-08-23,21635.77,62,0
2010-08-24,25468.88,74,0
2010-08-25,30861.66,103,0
2010-08-26,34571.93,99,0
2010-08-27,-3920.84,45,0
2010-08-29,14481.08,40,0
2010-08-31,33603.24,73,0
2010-09-01,22449.1,84,0
2010-09-02,34621.02,97,0
2010-09-03,36853.65,78,0
2010-09-05,12354.8,36,0
2010-09-06,28546.58,72,0
2010-09-07,27476.31,55,0
2010-09-08,17397.9,63,0
2010-09-09,24423.24,96,0
2010-09-10,16501.52,50,0
2010-09-12,15746.09,49,0
2010-09-13,38187.61,110,0
2010-09-14,21143.99,66,0
2010-09-15,34557.25,93,0
2010-09-16,26480.59,112,0
2010-09-17,20449.35,80,0
2010-09-19,23066.19,60,0
2010-09-20,41699.62,87,0
2010-09-21,61862.51,143,0
2010-09-22,29504.24,102,0
2010-09-23,36149.42,99,0
2010-09-24,47592.78,76,0
2010-09-26,21405.57,76,0
2010-09-27,97814.7,95,0
2010-09-28,33754.07,172,0
2010-09-29,37750.24,129,0
2010-09-30,46036.67,119,0
2010-10-01,36869.6,88,1
2010-10-03,38527.45,89,1
2010-10-04,39071.09,101,1
2010-10-05,53596.57,182,1
2010-10-06,30701.49,69,1
2010-10-07,52035.47,149,1
2010-10-08,59534.77,100,1
2010-10-10,23117.33,71,1
2010-10-11,43077.41,125,1
2010-10-12,49281.54,145,1
2010-10-13,53122.61,97,1
2010-10-14,86077.65,122,1
2010-10-15,44488.98,120,1
2010-10-17,32985.9,80,1
2010-10-18,39570.1,179,1
2010-10-19,44584.28,96,1
2010-10-20,44204.73,121,1
2010-10-21,38595.65,119,1
2010-10-22,38912.9,142,1
2010-10-24,28748.9,86,1
2010-10-25,29134.11,106,1
2010-10-26,45460.09,133,1
2010-10-27,32899.64,80,1
2010-10-28,23322.02,110,1
2010-10-29,45418.6,90,1
2010-10-31,30280.27,88,1
2010-11-01,27242.19,103,1
2010-11-02,41410.92,178,1
2010-11-03,44275.38,146,1
2010-11-04,88728.31,218,1
2010-11-05,46071.33,149,1
2010-11-07,31713.01,90,1
2010-11-08,83786.85,124,1
2010-11-09,59438.75,145,1
2010-11-10,79719.72,152,1
2010-11-11,61160.27,191,1
2010-11-12,50597.03,120,1
2010-11-14,29333.48,94,1
2010-11-15,104983.55,133,1
2010-11-16,71574.12,153,1
2010-11-17,51232.76,134,1
2010-11-18,44513.9,122,1
2010-11-19,46951.28,150,1
2010-11-21,32342.17,102,1
2010-11-22,43075.61,105,1
2010-11-23,53714.92,172,1
2010-11-24,58078.21,188,1
2010-11-25,71775.58,181,1
2010-11-26,40206.45,102,1
2010-11-28,27084.48,104,1
2010-11-29,79065.97,125,1
2010-11-30,55517.92,170,1
2010-12-01,117230.72,143,1
2010-12-02,92414.56,167,1
2010-12-03,91232.42,108,1
2010-12-05,62683.98,95,1
2010-12-06,107609.5,133,1
2010-12-07,90159.1,109,1
2010-12-08,88299.76,148,1
2010-12-09,105038.26,182,1
2010-12-10,57537.99,90,1
2010-12-12,17240.92,51,1
2010-12-13,36825.29,82,1
2010-12-14,42821.28,143,1
2010-12-15,29426.88,97,1
2010-12-16,48328.35,150,1
2010-12-17,43532.19,72,1
2010-12-19,7517.31,25,1
2010-12-20,24719.75,96,1
2010-12-21,47097.94,66,1
2010-12-22,4836.17,22,1
2010-12-23,11792.71,38,1
2011-01-04,14939.33,57,0
2011-01-05,-1585.18,76,0
2011-01-06,39019.28,77,0
2011-01-07,27233.14,58,0
2011-01-09,15710.8,51,0
2011-01-10,24184.94,61,0
2011-01-11,67804.38,84,0
2011-01-12,23958.78,62,0
2011-01-13,20533.54,51,0
2011-01-14,47374.76,56,0
2011-01-16,7114.11,29,0
2011-01-17,29287.32,54,0
2011-01-18,18678.4,51,0
2011-01-19,25582.01,43,0
2011-01-20,19821.56,52,0
2011-01-21,31968.44,63,0
2011-01-23,10285.95,30,0
2011-01-24,25540.62,60,0
2011-01-25,27971.52,86,0
2011-01-26,19493.32,71,0
2011-01-27,22813.74,86,0
2011-01-28,18567.77,100,0
2011-01-30,6456.44,25,0
2011-01-31,22361.7,85,0
2011-02-01,28437.22,85,0
2011-02-02,21033.45,73,0
2011-02-03,23329.58,52,0
2011-02-04,24994.17,75,0
2011-02-06,3457.11,11,0
2011-02-07,25525.99,53,0
2011-02-08,20728.14,58,0
2011-02-09,16684.83,31,0
2011-02-10,13509.54,65,0
2011-02-11,21510.52,93,0
2011-02-13,5535.4,24,0
2011-02-14,26445.79,53,0
2011-02-15,39143.33,68,0
2011-02-16,24730.81,69,0
2011-02-17,26361.87,73,0
2011-02-18,15995.9,65,0
2011-02-20,9575.49,29,0
2011-02-21,23807.83,57,0
2011-02-22,32282.12,64,0
2011-02-23,26792.95,67,0
2011-02-24,22655.83,66,0
2011-02-25,18029.84,51,0
2011-02-27,9491.05,35,0
2011-02-28,20938.16,61,0
2011-03-01,24920.51,63,0
2011-03-02,18296.45,67,0
2011-03-03,35842.62,85,0
2011-03-04,19474.02,56,0
2011-03-06,9630.28,35,0
2011-03-07,31317.67,101,0
2011-03-08,25004.87,61,0
2011-03-09,21887.17,79,0
2011-03-10,25597.89,90,0
2011-03-11,21985.28,61,0
2011-03-13,4125.54,17,0
2011-03-14,25863.74,61,0
2011-03-15,20660.03,63,0
2011-03-16,21165.0,59,0
2011-03-17,39485.86,83,0
2011-03-18,16288.72,75,0
2011-03-20,21987.59,64,0
2011-03-21,16370.27,69,0
2011-03-22,31312.35,83,0
2011-03-23,24029.07,88,0
2011-03-24,36562.1,95,0
2011-03-25,30655.18,67,0
2011-03-27,8965.03,46,0
2011-03-28,22245.65,85,0
2011-03-29,70293.35,95,0
2011-03-30,31487.6,118,0
2011-03-31,31209.78,91,0
2011-04-01,24354.18,107,0
2011-04-03,6878.1,22,0
2011-04-04,25071.02,77,0
2011-04-05,28353.83,94,0
2011-04-06,17279.35,89,0
2011-04-07,18227.3,81,0
2011-04-08,21431.28,135,0
2011-04-10,9363.88,37,0
2011-04-11,22108.81,74,0
2011-04-12,24815.43,80,0
2011-04-13,24005.71,77,0
2011-04-14,35353.18,108,0
2011-04-15,28327.13,57,0
2011-04-17,12704.3,44,0
2011-04-18,32172.54,94,0
2011-04-19,23992.86,74,0
2011-04-20,28239.39,89,0
2011-04-21,32069.65,110,0
2011-04-26,30585.84,85,0
2011-04-27,25577.64,92,0
2011-04-28,20842.91,99,0
2011-05-01,6966.61,20,0
2011-05-03,26522.2,125,0
2011-05-04,27462.3,77,0
2011-05-05,28744.35,110,0
2011-05-06,35904.02,112,0
2011-05-08,18807.92,67,0
2011-05-09,27371.1,81,0
2011-05-10,45564.12,114,0
2011-05-11,33245.46,96,0
2011-05-12,61052.52,102,0
2011-05-13,30744.07,77,0
2011-05-15,9920.98,31,0
2011-05-16,26580.41,86,0
2011-05-17,52685.51,119,0
2011-05-18,34337.29,89,0
2011-05-19,34348.75,124,0
2011-05-20,26256.52,90,0
2011-05-22,24206.22,62,0
2011-05-23,31234.55,114,0
2011-05-24,37088.91,100,0
2011-05-25,24254.92,90,0
2011-05-26,33208.59,78,0
2011-05-27,28231.59,85,0
2011-05-29,7208.3,25,0
2011-05-31,21964.66,62,0
2011-06-01,20187.25,65,0
2011-06-02,32513.71,85,0
2011-06-03,16751.0,53,0
2011-06-05,25520.35,70,0
2011-06-06,16786.71,73,0
2011-06-07,37640.55,98,0
2011-06-08,42811.53,113,0
2011-06-09,46111.19,109,0
2011-06-10,61510.66,91,0
2011-06-12,12483.86,40,0
2011-06-13,20379.58,86,0
2011-06-14,40303.12,66,0
2011-06-15,47148.16,88,0
2011-06-16,34131.73,107,0
2011-06-17,20800.72,62,0
2011-06-19,22360.78,63,0
2011-06-20,33493.4,99,0
2011-06-21,22749.31,84,0
2011-06-22,21794.94,68,0
2011-06-23,24272.06,90,0
2011-06-24,8619.88,61,0
2011-06-26,6175.17,36,0
2011-06-27,16823.86,61,0
2011-06-28,33630.31,83,0
2011-06-29,21765.63,67,0
2011-06-30,43848.2,79,0
2011-07-01,13057.08,69,0
2011-07-03,5977.14,27,0
2011-07-04,44106.85,61,0
2011-07-05,40342.01,88,0
2011-07-06,26260.73,77,0
2011-07-07,31369.96,93,0
2011-07-08,26836.13,92,0
2011-07-10,5685.77,29,0
2011-07-11,22426.71,68,0
2011-07-12,25892.04,66,0
2011-07-13,11612.53,65,0
2011-07-14,32571.72,89,0
2011-07-15,14460.04,61,0
2011-07-17,17174.66,53,0
2011-07-18,28568.27,90,0
2011-07-19,49311.74,84,0
2011-07-20,30366.01,70,0
2011-07-21,32100.71,103,0
2011-07-22,20015.23,58,0
2011-07-24,26476.2,63,0
2011-07-25,26731.4,69,0
2011-07-26,21271.3,89,0
2011-07-27,25568.45,86,0
2011-07-28,55716.48,124,0
2011-07-29,18099.11,70,0
2011-07-31,33443.5,43,0
2011-08-01,21112.84,50,0
2011-08-02,14947.27,61,0
2011-08-03,27092.42,83,0
2011-08-04,61028.23,99,0
2011-08-05,21348.78,64,0
2011-08-07,7464.12,33,0
2011-08-08,23216.95,53,0
2011-08-09,26722.46,57,0
2011-08-10,28595.4,61,0
2011-08-11,69636.04,83,0
2011-08-12,32171.95,59,0
2011-08-14,5150.18,37,0
2011-08-15,17205.54,54,0
2011-08-16,19103.71,63,0
2011-08-17,50585.69,62,0
2011-08-18,53217.27,100,0
2011-08-19,17238.54,60,0
2011-08-21,14549.21,42,0
2011-08-22,27978.41,68,0
2011-08-23,25814.59,73,0
2011-08-24,37072.8,102,0
2011-08-25,22146.38,93,0
2011-08-26,25550.23,55,0
2011-08-28,10784.78,39,0
2011-08-30,31640.9,50,0
2011-08-31,16223.6,117,0
2011-09-01,36808.81,80,0
2011-09-02,40892.27,106,0
2011-09-04,17022.74,53,0
2011-09-05,36840.04,78,0
2011-09-06,28052.62,70,0
2011-09-07,34125.65,60,0
2011-09-08,26723.0,90,0
2011-09-09,29544.83,86,0
2011-09-11,35465.47,78,0
2011-09-12,29039.31,96,0
2011-09-13,54922.93,80,0
2011-09-14,23360.66,93,0
2011-09-15,62740.55,113,0
2011-09-16,27242.82,82,0
2011-09-18,15690.68,28,0
2011-09-19,46212.21,98,0
2011-09-20,109507.38,76,0
2011-09-21,42972.1,107,0
2011-09-22,57081.29,144,0
2011-09-23,39435.7,98,0
2011-09-25,31262.76,78,0
2011-09-26,28642.27,79,0
2011-09-27,35752.16,114,0
2011-09-28,43368.4,112,0
2011-09-29,43647.21,115,0
2011-09-30,43989.85,94,0
2011-10-02,11623.58,36,1
2011-10-03,61036.88,88,1
2011-10-04,48231.93,104,1
2011-10-05,75244.43,104,1
2011-10-06,55521.25,217,1
2011-10-07,47538.02,108,1
2011-10-09,11922.24,41,1
2011-10-10,46020.99,135,1
2011-10-11,38308.04,105,1
2011-10-12,29428.37,107,1
2011-10-13,37066.17,106,1
2011-10-14,35185.06,85,1
2011-10-16,21605.05,39,1
2011-10-17,47216.42,103,1
2011-10-18,44838.46,107,1
2011-10-19,35996.14,105,1
2011-10-20,60791.89,106,1
2011-10-21,62961.26,69,1
2011-10-23,12252.03,44,1
2011-10-24,40003.35,138,1
2011-10-25,40177.41,110,1
2011-10-26,37841.08,106,1
2011-10-27,47480.15,134,1
2011-10-28,40463.85,99,1
2011-10-30,34536.74,97,1
2011-10-31,48475.45,109,1
2011-11-01,28741.55,105,1
2011-11-02,45239.06,116,1
2011-11-03,62670.32,122,1
2011-11-04,60087.16,143,1
2011-11-06,42900.66,104,1
2011-11-07,70001.08,115,1
2011-11-08,56656.25,141,1
2011-11-09,62341.98,127,1
2011-11-10,68915.78,180,1
2011-11-11,54817.56,118,1
2011-11-13,33519.93,93,1
2011-11-14,112137.76,150,1
2011-11-15,59728.43,141,1
2011-11-16,64408.7,161,1
2011-11-17,60320.14,168,1
2011-11-18,49712.03,162,1
2011-11-20,34902.01,105,1
2011-11-21,48294.43,122,1
2011-11-22,61919.99,171,1
2011-11-23,78480.7,154,1
2011-11-24,48080.28,146,1
2011-11-25,50441.02,98,1
2011-11-27,20565.22,60,1
2011-11-28,55442.02,126,1
2011-11-29,72219.2,151,1
2011-11-30,59149.73,164,1
2011-12-01,51400.31,169,1
2011-12-02,57130.5,142,1
2011-12-04,24567.03,71,1
2011-12-05,57330.97,151,1
2011-12-06,54222.52,149,1
2011-12-07,75211.17,137,1
2011-12-08,81416.52,145,1
2011-12-09,32374.22,48,1
